Dia de Din Instante;Mês de Din Instante;Val Geraenergiaconmwmed
1;setembro de 2019;1,08920833
2;setembro de 2019;1,016125
3;setembro de 2019;1,03691666
4;setembro de 2019;1,02191666
5;setembro de 2019;1,00358333
6;setembro de 2019;1,02370833
7;setembro de 2019;0,98183333
8;setembro de 2019;1,05254166
9;setembro de 2019;0,87495833
10;setembro de 2019;0,96016666
11;setembro de 2019;0,82604166
12;setembro de 2019;1,23854166
1;agosto de 2019;1,104375
2;agosto de 2019;0,97358333
3;agosto de 2019;0,95966666
4;agosto de 2019;0,94995833
5;agosto de 2019;1,01058333
6;agosto de 2019;0,85175
7;agosto de 2019;0,91295833
8;agosto de 2019;0,283625
9;agosto de 2019;0,97725
10;agosto de 2019;0,893875
11;agosto de 2019;0,81775
12;agosto de 2019;0
13;agosto de 2019;0
14;agosto de 2019;0
15;agosto de 2019;0,25266666
16;agosto de 2019;0,771875
17;agosto de 2019;0,71454166
18;agosto de 2019;0,885375
19;agosto de 2019;1,02758333
20;agosto de 2019;1,17158333
21;agosto de 2019;1,13170833
22;agosto de 2019;0,3315
23;agosto de 2019;1,060375
24;agosto de 2019;1
25;agosto de 2019;0,84995833
26;agosto de 2019;0,853375
27;agosto de 2019;0,512875
28;agosto de 2019;1,11983333
29;agosto de 2019;0,958625
30;agosto de 2019;0,99725
31;agosto de 2019;1,09191666
1;julho de 2019;0,46354166
2;julho de 2019;0,7605
3;julho de 2019;0,81495833
4;julho de 2019;1,02795833
5;julho de 2019;1,12645833
6;julho de 2019;1,10658333
7;julho de 2019;1,11141666
8;julho de 2019;0,43154166
9;julho de 2019;0,23366666
10;julho de 2019;0,45129166
11;julho de 2019;0,47195833
12;julho de 2019;0,59275
13;julho de 2019;1,02079166
14;julho de 2019;0,62266666
15;julho de 2019;1,033125
16;julho de 2019;0,87520833
17;julho de 2019;1,201
18;julho de 2019;0,96829166
19;julho de 2019;0,30608333
20;julho de 2019;0,73345833
21;julho de 2019;0,34841666
22;julho de 2019;0,83329166
23;julho de 2019;0,507375
24;julho de 2019;0,4615
25;julho de 2019;0,59729166
26;julho de 2019;0,63404166
27;julho de 2019;0,81804166
28;julho de 2019;0,80725
29;julho de 2019;1,11116666
30;julho de 2019;0,61508333
31;julho de 2019;0,77004166
1;junho de 2019;0,85816666
2;junho de 2019;0,94520833
3;junho de 2019;1,058375
4;junho de 2019;1,07833333
5;junho de 2019;1,169375
6;junho de 2019;0,42833333
7;junho de 2019;0,44175
8;junho de 2019;0,534
9;junho de 2019;0,79333333
10;junho de 2019;0,52345833
11;junho de 2019;0,62620833
12;junho de 2019;0,96566666
13;junho de 2019;0,6765
14;junho de 2019;0,6025
15;junho de 2019;0,680375
16;junho de 2019;0,78183333
17;junho de 2019;0,181375
18;junho de 2019;0,60316666
19;junho de 2019;0,87941666
20;junho de 2019;0,42429166
21;junho de 2019;0,890875
22;junho de 2019;0,72570833
23;junho de 2019;0,44658333
24;junho de 2019;0,7705
25;junho de 2019;1,05454166
26;junho de 2019;0,85091666
27;junho de 2019;0,37175
28;junho de 2019;0,79758333
29;junho de 2019;0,79579166
30;junho de 2019;0,209
1;maio de 2019;0,55075
2;maio de 2019;1,11716666
3;maio de 2019;1,216375
4;maio de 2019;1,18041666
5;maio de 2019;1,17991666
6;maio de 2019;1,19166666
7;maio de 2019;1,145875
8;maio de 2019;0,84591666
9;maio de 2019;1,01825
10;maio de 2019;0,755875
11;maio de 2019;0,961125
12;maio de 2019;0,94241666
13;maio de 2019;0,81733333
14;maio de 2019;0,81554166
15;maio de 2019;0,72954166
16;maio de 2019;0,75529166
17;maio de 2019;0,62625
18;maio de 2019;1,10425
19;maio de 2019;0,89895833
20;maio de 2019;1,10554166
21;maio de 2019;0,7305
22;maio de 2019;0,76891666
23;maio de 2019;1,09695833
24;maio de 2019;1,00866666
25;maio de 2019;1,17554166
26;maio de 2019;1,16683333
27;maio de 2019;0,921
28;maio de 2019;0,73095833
29;maio de 2019;1,127375
30;maio de 2019;0,90341666
31;maio de 2019;1,05995833
1;abril de 2019;0,88775
2;abril de 2019;1,00433333
3;abril de 2019;1,15720833
4;abril de 2019;0,83525
5;abril de 2019;0,76170833
6;abril de 2019;1,08425
7;abril de 2019;1,07529166
8;abril de 2019;1,07279166
9;abril de 2019;1,18425
10;abril de 2019;0,76083333
11;abril de 2019;1,087875
12;abril de 2019;1,1465
13;abril de 2019;1,09575
14;abril de 2019;0,86441666
15;abril de 2019;1,147875
16;abril de 2019;0,95183333
17;abril de 2019;1,04375
18;abril de 2019;1,01570833
19;abril de 2019;1,08483333
20;abril de 2019;0,94158333
21;abril de 2019;0,92045833
22;abril de 2019;1,23641666
23;abril de 2019;0,92016666
24;abril de 2019;0,997
25;abril de 2019;0,94679166
26;abril de 2019;1,165
27;abril de 2019;0,91066666
28;abril de 2019;0,95104166
29;abril de 2019;0,77920833
30;abril de 2019;0,89279166
1;março de 2019;0,09554166
2;março de 2019;1,10166666
3;março de 2019;1,04625
4;março de 2019;0,62483333
5;março de 2019;0,83725
6;março de 2019;1,13945833
7;março de 2019;1,03920833
8;março de 2019;1,16016666
9;março de 2019;1,22516666
10;março de 2019;1,28166666
11;março de 2019;1,29270833
12;março de 2019;1,118125
13;março de 2019;0,69341666
14;março de 2019;1,00433333
15;março de 2019;1,159875
16;março de 2019;1,30816666
17;março de 2019;1,149875
18;março de 2019;0,897375
19;março de 2019;1,00825
20;março de 2019;1,23691666
21;março de 2019;1,00275
22;março de 2019;0,04325
23;março de 2019;0
24;março de 2019;0
25;março de 2019;0
26;março de 2019;0,007
27;março de 2019;0,93008333
28;março de 2019;1,04879166
29;março de 2019;1,20458333
30;março de 2019;0,83704166
31;março de 2019;0,88333333
1;fevereiro de 2019;1,056375
2;fevereiro de 2019;1,00608333
3;fevereiro de 2019;1,13070833
4;fevereiro de 2019;0,99716666
5;fevereiro de 2019;1,03191666
6;fevereiro de 2019;0,86641666
7;fevereiro de 2019;1,14775
8;fevereiro de 2019;1,16483333
9;fevereiro de 2019;1,24229166
10;fevereiro de 2019;1,29470833
11;fevereiro de 2019;1,09795833
12;fevereiro de 2019;1,22279166
13;fevereiro de 2019;0,94183333
14;fevereiro de 2019;0,85383333
15;fevereiro de 2019;0,6385
16;fevereiro de 2019;0,87191666
17;fevereiro de 2019;0,64704166
18;fevereiro de 2019;1,17658333
19;fevereiro de 2019;1,14225
20;fevereiro de 2019;1,257375
21;fevereiro de 2019;1,09758333
22;fevereiro de 2019;1,06
23;fevereiro de 2019;0,66970833
24;fevereiro de 2019;0,78691666
25;fevereiro de 2019;0,74175
26;fevereiro de 2019;0,88770833
27;fevereiro de 2019;1,02141666
28;fevereiro de 2019;1,26225
1;janeiro de 2019;1,24579166
2;janeiro de 2019;1,05329166
3;janeiro de 2019;1,11125
4;janeiro de 2019;1,25475
5;janeiro de 2019;0,86504166
6;janeiro de 2019;0,834625
7;janeiro de 2019;0,56995833
8;janeiro de 2019;1,00520833
9;janeiro de 2019;0,88858333
10;janeiro de 2019;0,86170833
11;janeiro de 2019;0,95183333
12;janeiro de 2019;1,22304166
13;janeiro de 2019;1,26441666
14;janeiro de 2019;0,963875
15;janeiro de 2019;0,96491666
16;janeiro de 2019;1,06370833
17;janeiro de 2019;0,94141666
18;janeiro de 2019;1,031625
19;janeiro de 2019;1,15225
20;janeiro de 2019;1,04579166
21;janeiro de 2019;1,15008333
22;janeiro de 2019;1,15954166
23;janeiro de 2019;1,03775
24;janeiro de 2019;1,16958333
25;janeiro de 2019;1,13025
26;janeiro de 2019;1,27533333
27;janeiro de 2019;1,20829166
28;janeiro de 2019;0,774375
29;janeiro de 2019;0,66304166
30;janeiro de 2019;1,20116666
31;janeiro de 2019;1,09245833
1;dezembro de 2018;0,81445833
2;dezembro de 2018;0,999125
3;dezembro de 2018;0,76908333
4;dezembro de 2018;0,63570833
5;dezembro de 2018;0,88725
6;dezembro de 2018;0,78425
7;dezembro de 2018;1,13758333
8;dezembro de 2018;0,78708333
9;dezembro de 2018;0,871375
10;dezembro de 2018;0,36020833
11;dezembro de 2018;0,813
12;dezembro de 2018;1,07429166
13;dezembro de 2018;0,953375
14;dezembro de 2018;1,20816666
15;dezembro de 2018;1,18166666
16;dezembro de 2018;1,24991666
17;dezembro de 2018;0,66025
18;dezembro de 2018;0,90529166
19;dezembro de 2018;1,17525
20;dezembro de 2018;1,21083333
21;dezembro de 2018;1,14275
22;dezembro de 2018;1,15654166
23;dezembro de 2018;0,850625
24;dezembro de 2018;0,70208333
25;dezembro de 2018;1,22158333
26;dezembro de 2018;1,18945833
27;dezembro de 2018;1,22279166
28;dezembro de 2018;1,22770833
29;dezembro de 2018;0,73608333
30;dezembro de 2018;1,16841666
31;dezembro de 2018;1,23754166
1;novembro de 2018;1,20866666
2;novembro de 2018;1,28345833
3;novembro de 2018;1,216375
4;novembro de 2018;1,22347826
5;novembro de 2018;1,25720833
6;novembro de 2018;0,95895833
7;novembro de 2018;1,26316666
8;novembro de 2018;1,077
9;novembro de 2018;1,22179166
10;novembro de 2018;1,2175
11;novembro de 2018;1,19841666
12;novembro de 2018;1,215
13;novembro de 2018;1,25595833
14;novembro de 2018;1,24929166
15;novembro de 2018;1,25516666
16;novembro de 2018;1,17683333
17;novembro de 2018;1,252125
18;novembro de 2018;1,185125
19;novembro de 2018;1,18879166
20;novembro de 2018;1,188
21;novembro de 2018;1,03279166
22;novembro de 2018;1,16570833
23;novembro de 2018;0,99066666
24;novembro de 2018;0,81908333
25;novembro de 2018;0,85845833
26;novembro de 2018;0,554875
27;novembro de 2018;0,32179166
28;novembro de 2018;1,052625
29;novembro de 2018;1,17554166
30;novembro de 2018;1,20204166
1;outubro de 2018;1,24570833
2;outubro de 2018;1,317625
3;outubro de 2018;1,14016666
4;outubro de 2018;1,15570833
5;outubro de 2018;1,03579166
6;outubro de 2018;1,21370833
7;outubro de 2018;1,176625
8;outubro de 2018;1,22320833
9;outubro de 2018;1,31333333
10;outubro de 2018;1,21004166
11;outubro de 2018;1,2055
12;outubro de 2018;1,26895833
13;outubro de 2018;1,13625
14;outubro de 2018;1,14958333
15;outubro de 2018;0,784375
16;outubro de 2018;0,73325
17;outubro de 2018;0,93125
18;outubro de 2018;1,110875
19;outubro de 2018;0,92670833
20;outubro de 2018;1,20945833
21;outubro de 2018;1,12358333
22;outubro de 2018;1,19320833
23;outubro de 2018;1,30716666
24;outubro de 2018;1,30175
25;outubro de 2018;1,29816666
26;outubro de 2018;1,2865
27;outubro de 2018;1,263875
28;outubro de 2018;0,98795833
29;outubro de 2018;1,12654166
30;outubro de 2018;1,18445833
31;outubro de 2018;1,25925
1;setembro de 2018;1,047375
2;setembro de 2018;0,87670833
3;setembro de 2018;1,20441666
4;setembro de 2018;1,28
5;setembro de 2018;1,267
6;setembro de 2018;0,98541666
7;setembro de 2018;1,00416666
8;setembro de 2018;1,03879166
9;setembro de 2018;0,7555
10;setembro de 2018;1,17366666
11;setembro de 2018;1,13895833
12;setembro de 2018;1,329375
13;setembro de 2018;1,27445833
14;setembro de 2018;1,27308333
15;setembro de 2018;1,22670833
16;setembro de 2018;1,254625
17;setembro de 2018;1,27170833
18;setembro de 2018;1,09
19;setembro de 2018;1,23291666
20;setembro de 2018;1,11133333
21;setembro de 2018;1,23729166
22;setembro de 2018;1,301125
23;setembro de 2018;1,29375
24;setembro de 2018;1,07975
25;setembro de 2018;1,08766666
26;setembro de 2018;0,527
27;setembro de 2018;1,25170833
28;setembro de 2018;1,0535
29;setembro de 2018;1,24941666
30;setembro de 2018;1,20154166
1;agosto de 2018;1,17183333
2;agosto de 2018;1,21029166
3;agosto de 2018;1,218125
4;agosto de 2018;1,13216666
5;agosto de 2018;1,24733333
6;agosto de 2018;1,23691666
7;agosto de 2018;1,083125
8;agosto de 2018;1,08308333
9;agosto de 2018;1,0795
10;agosto de 2018;1,216625
11;agosto de 2018;1,22241666
12;agosto de 2018;1,12925
13;agosto de 2018;1,029125
14;agosto de 2018;1,22783333
15;agosto de 2018;1,23054166
16;agosto de 2018;1,203375
17;agosto de 2018;1,05141666
18;agosto de 2018;0,98908333
19;agosto de 2018;0,802
20;agosto de 2018;0,829125
21;agosto de 2018;0,92779166
22;agosto de 2018;0,75470833
23;agosto de 2018;1,15995833
24;agosto de 2018;0,88641666
25;agosto de 2018;1,260625
26;agosto de 2018;1,18979166
27;agosto de 2018;1,135375
28;agosto de 2018;1,15175
29;agosto de 2018;1,017625
30;agosto de 2018;1,11175
31;agosto de 2018;0,98308333
1;julho de 2018;1,156625
2;julho de 2018;0,489
3;julho de 2018;1,117125
4;julho de 2018;1,06125
5;julho de 2018;1,14229166
6;julho de 2018;0,386125
7;julho de 2018;0,546375
8;julho de 2018;0,74441666
9;julho de 2018;1,10629166
10;julho de 2018;0,92070833
11;julho de 2018;1,084625
12;julho de 2018;1,00541666
13;julho de 2018;1,090125
14;julho de 2018;1,169625
15;julho de 2018;1,13120833
16;julho de 2018;0,74325
17;julho de 2018;1,0285
18;julho de 2018;0,95041666
19;julho de 2018;0,67458333
20;julho de 2018;1,13979166
21;julho de 2018;1,18545833
22;julho de 2018;0,92833333
23;julho de 2018;1,06545833
24;julho de 2018;0,85675
25;julho de 2018;0,57941666
26;julho de 2018;1,00695833
27;julho de 2018;1,080125
28;julho de 2018;0,91475
29;julho de 2018;1,143875
30;julho de 2018;1,08079166
31;julho de 2018;0,752875
1;junho de 2018;1,07770833
2;junho de 2018;1,12295833
3;junho de 2018;0,89725
4;junho de 2018;0,60225
5;junho de 2018;1,00695833
6;junho de 2018;1,04720833
7;junho de 2018;1,09233333
8;junho de 2018;1,10229166
9;junho de 2018;1,04816666
10;junho de 2018;0,69575
11;junho de 2018;0,53533333
12;junho de 2018;0,96691666
13;junho de 2018;0,96829166
14;junho de 2018;0,93366666
15;junho de 2018;0,94754166
16;junho de 2018;0,85433333
17;junho de 2018;0,49233333
18;junho de 2018;0,710375
19;junho de 2018;0,9515
20;junho de 2018;1,01395833
21;junho de 2018;0,951125
22;junho de 2018;1,06054166
23;junho de 2018;1,10654166
24;junho de 2018;0,776625
25;junho de 2018;0,88116666
26;junho de 2018;1,033375
27;junho de 2018;1,12770833
28;junho de 2018;1,019375
29;junho de 2018;0,355875
30;junho de 2018;1,04541666
1;maio de 2018;0,48529166
2;maio de 2018;0,86754166
3;maio de 2018;1,033875
4;maio de 2018;1,083125
5;maio de 2018;0,78695833
6;maio de 2018;0,919
7;maio de 2018;0,82733333
8;maio de 2018;0,969875
9;maio de 2018;1,15408333
10;maio de 2018;0,9835
11;maio de 2018;0,91558333
12;maio de 2018;1,044125
13;maio de 2018;1,17245833
14;maio de 2018;1,08029166
15;maio de 2018;0,90279166
16;maio de 2018;1,09833333
17;maio de 2018;1,01183333
18;maio de 2018;0,88529166
19;maio de 2018;1,131625
20;maio de 2018;1,15295833
21;maio de 2018;1,15579166
22;maio de 2018;0,734
23;maio de 2018;1,146875
24;maio de 2018;0,88454166
25;maio de 2018;0,55075
26;maio de 2018;0,84058333
27;maio de 2018;1,08541666
28;maio de 2018;0,53141666
29;maio de 2018;0,64816666
30;maio de 2018;0,71929166
31;maio de 2018;0,702125
1;abril de 2018;0,87625
2;abril de 2018;0,92404166
3;abril de 2018;0,92558333
4;abril de 2018;0,817375
5;abril de 2018;1,098
6;abril de 2018;0,82275
7;abril de 2018;0,465625
8;abril de 2018;0,940875
9;abril de 2018;0,9835
10;abril de 2018;1,08245833
11;abril de 2018;0,88116666
12;abril de 2018;1,00770833
13;abril de 2018;0,65945833
14;abril de 2018;1,15858333
15;abril de 2018;0,98341666
16;abril de 2018;1,04416666
17;abril de 2018;1,07354166
18;abril de 2018;1,21425
19;abril de 2018;1,155625
20;abril de 2018;0,81870833
21;abril de 2018;0,653125
22;abril de 2018;0,61204166
23;abril de 2018;0,61970833
24;abril de 2018;0,39266666
25;abril de 2018;1,08791666
26;abril de 2018;1,2045
27;abril de 2018;1,04779166
28;abril de 2018;0,867875
29;abril de 2018;0,77341666
30;abril de 2018;0,817625
1;março de 2018;1,10645833
2;março de 2018;0,94004166
3;março de 2018;1,04225
4;março de 2018;0,93695833
5;março de 2018;0,85945833
6;março de 2018;0,82370833
7;março de 2018;1,15470833
8;março de 2018;1,03945833
9;março de 2018;0,97716666
10;março de 2018;0,98358333
11;março de 2018;1,16479166
12;março de 2018;0,89370833
13;março de 2018;0,98079166
14;março de 2018;1,10204166
15;março de 2018;1,264875
16;março de 2018;1,31870833
17;março de 2018;1,17095833
18;março de 2018;1,151875
19;março de 2018;1,236375
20;março de 2018;1,03483333
21;março de 2018;0,96541666
22;março de 2018;1,17866666
23;março de 2018;1,13295833
24;março de 2018;0,860625
25;março de 2018;0,8665
26;março de 2018;0,68225
27;março de 2018;0,78620833
28;março de 2018;1,15254166
29;março de 2018;0,693625
30;março de 2018;0,92379166
31;março de 2018;1,18579166
1;fevereiro de 2018;1,21833333
2;fevereiro de 2018;1,16345833
3;fevereiro de 2018;1,11683333
4;fevereiro de 2018;1,1095
5;fevereiro de 2018;1,07791666
6;fevereiro de 2018;0,8155
7;fevereiro de 2018;0,85533333
8;fevereiro de 2018;1,060875
9;fevereiro de 2018;0,91625
10;fevereiro de 2018;0,78458333
11;fevereiro de 2018;0,80966666
12;fevereiro de 2018;0,9175
13;fevereiro de 2018;0,87916666
14;fevereiro de 2018;0,8745
15;fevereiro de 2018;0,876375
16;fevereiro de 2018;0,638625
17;fevereiro de 2018;0,39775
18;fevereiro de 2018;0,59245833
19;fevereiro de 2018;0,957125
20;fevereiro de 2018;1,23995833
21;fevereiro de 2018;1,273
22;fevereiro de 2018;1,18729166
23;fevereiro de 2018;1,11379166
24;fevereiro de 2018;1,01541666
25;fevereiro de 2018;0,927375
26;fevereiro de 2018;1,165
27;fevereiro de 2018;1,222625
28;fevereiro de 2018;1,20395833
1;janeiro de 2018;1,17529166
2;janeiro de 2018;1,08433333
3;janeiro de 2018;0,96354166
4;janeiro de 2018;0,87166666
5;janeiro de 2018;0,970125
6;janeiro de 2018;1,1675
7;janeiro de 2018;1,123
8;janeiro de 2018;1,21516666
9;janeiro de 2018;0,98
10;janeiro de 2018;0,933375
11;janeiro de 2018;0,82658333
12;janeiro de 2018;0,98275
13;janeiro de 2018;0,76445833
14;janeiro de 2018;0,793125
15;janeiro de 2018;0,927375
16;janeiro de 2018;1,11979166
17;janeiro de 2018;1,19458333
18;janeiro de 2018;1,07645833
19;janeiro de 2018;0,738625
20;janeiro de 2018;1,098875
21;janeiro de 2018;1,17358333
22;janeiro de 2018;0,70275
23;janeiro de 2018;0,96058333
24;janeiro de 2018;0,91733333
25;janeiro de 2018;1,17104166
26;janeiro de 2018;0,57125
27;janeiro de 2018;0,80566666
28;janeiro de 2018;1,078125
29;janeiro de 2018;0,94529166
30;janeiro de 2018;0,860375
31;janeiro de 2018;1,182375
1;dezembro de 2017;1,078375
2;dezembro de 2017;1,06183333
3;dezembro de 2017;1,17108333
4;dezembro de 2017;1,00733333
5;dezembro de 2017;1,14866666
6;dezembro de 2017;1,20341666
7;dezembro de 2017;1,14679166
8;dezembro de 2017;1,17575
9;dezembro de 2017;0,92875
10;dezembro de 2017;0,63833333
11;dezembro de 2017;0,73358333
12;dezembro de 2017;0,8655
13;dezembro de 2017;1,004875
14;dezembro de 2017;1,23041666
15;dezembro de 2017;1,18708333
16;dezembro de 2017;1,01475
17;dezembro de 2017;1,12029166
18;dezembro de 2017;0,96125
19;dezembro de 2017;0,851375
20;dezembro de 2017;0,84816666
21;dezembro de 2017;1,04266666
22;dezembro de 2017;0,97420833
23;dezembro de 2017;0,48166666
24;dezembro de 2017;0,589625
25;dezembro de 2017;1,19704166
26;dezembro de 2017;1,08275
27;dezembro de 2017;1,202
28;dezembro de 2017;1,07529166
29;dezembro de 2017;1,23295833
30;dezembro de 2017;1,206875
31;dezembro de 2017;1,21608333
1;novembro de 2017;0,96120833
2;novembro de 2017;1,296375
3;novembro de 2017;1,17820833
4;novembro de 2017;1,16195833
5;novembro de 2017;0,3675
6;novembro de 2017;1,29120833
7;novembro de 2017;1,17908333
8;novembro de 2017;0,72633333
9;novembro de 2017;1,04141666
10;novembro de 2017;1,28958333
11;novembro de 2017;1,27833333
12;novembro de 2017;1,13841666
13;novembro de 2017;1,06891666
14;novembro de 2017;0,99479166
15;novembro de 2017;0,85608333
16;novembro de 2017;1,27591666
17;novembro de 2017;0,95454166
18;novembro de 2017;1,16583333
19;novembro de 2017;1,10675
20;novembro de 2017;1,300125
21;novembro de 2017;1,30854166
22;novembro de 2017;1,23529166
23;novembro de 2017;1,18679166
24;novembro de 2017;1,06916666
25;novembro de 2017;0,915875
26;novembro de 2017;1,181875
27;novembro de 2017;1,29558333
28;novembro de 2017;1,24116666
29;novembro de 2017;1,09416666
30;novembro de 2017;1,05970833
1;outubro de 2017;0
2;outubro de 2017;0
3;outubro de 2017;0,00016666
4;outubro de 2017;0,7695
5;outubro de 2017;0,73125
6;outubro de 2017;0,99020833
7;outubro de 2017;1,02495833
8;outubro de 2017;0,87470833
9;outubro de 2017;0,89854166
10;outubro de 2017;1,06933333
11;outubro de 2017;0,86766666
12;outubro de 2017;1,01720833
13;outubro de 2017;1,1445
14;outubro de 2017;1,19829166
15;outubro de 2017;1,36721739
16;outubro de 2017;1,309875
17;outubro de 2017;1,15741666
18;outubro de 2017;1,05583333
19;outubro de 2017;1,28375
20;outubro de 2017;0,83658333
21;outubro de 2017;1,06570833
22;outubro de 2017;1,07341666
23;outubro de 2017;1,07679166
24;outubro de 2017;0,948375
25;outubro de 2017;1,02720833
26;outubro de 2017;0,74516666
27;outubro de 2017;1,074
28;outubro de 2017;1,13875
29;outubro de 2017;1,29854166
30;outubro de 2017;1,296
31;outubro de 2017;1,071375
1;setembro de 2017;0,82566666
2;setembro de 2017;1,14483333
3;setembro de 2017;1,044875
4;setembro de 2017;0,67616666
5;setembro de 2017;0,85370833
6;setembro de 2017;0,91695833
7;setembro de 2017;0,85441666
8;setembro de 2017;1,0275
9;setembro de 2017;0,77170833
10;setembro de 2017;0,81866666
11;setembro de 2017;0,70070833
12;setembro de 2017;0,923625
13;setembro de 2017;0,71845833
14;setembro de 2017;0,70966666
15;setembro de 2017;0,57058333
16;setembro de 2017;0,75316666
17;setembro de 2017;1,01966666
18;setembro de 2017;0,93520833
19;setembro de 2017;0,89670833
20;setembro de 2017;0,88716666
21;setembro de 2017;0,67133333
22;setembro de 2017;0,288
23;setembro de 2017;0,48933333
24;setembro de 2017;0,6385
25;setembro de 2017;0,68670833
26;setembro de 2017;0,490375
27;setembro de 2017;0,03329166
28;setembro de 2017;0
29;setembro de 2017;0
30;setembro de 2017;0
1;agosto de 2017;0,89758333
2;agosto de 2017;0,84083333
3;agosto de 2017;1,02304166
4;agosto de 2017;1,28295833
5;agosto de 2017;1,26208333
6;agosto de 2017;0,91675
7;agosto de 2017;1,10129166
8;agosto de 2017;0,88745833
9;agosto de 2017;0,667
10;agosto de 2017;1,151375
11;agosto de 2017;1,25279166
12;agosto de 2017;1,11545833
13;agosto de 2017;1,087875
14;agosto de 2017;1,061875
15;agosto de 2017;1,29
16;agosto de 2017;0,97166666
17;agosto de 2017;1,14933333
18;agosto de 2017;1,09066666
19;agosto de 2017;0,74275
20;agosto de 2017;0,68716666
21;agosto de 2017;1,18695833
